ticket_id,workspace_id,ticket_type,status,created_at,resolution_days
1,1,Bug,Resolved,2025-01-16 16:00:07,11
2,1,Billing,Resolved,2025-01-04 21:02:01,8
3,1,Bug,Open,2025-02-02 12:17:44,7
4,1,Feature Request,Resolved,2025-01-13 04:35:41,12
5,1,Billing,Resolved,2025-03-16 01:46:10,10
6,1,Bug,Open,2025-05-17 13:51:22,13
7,1,Technical Issue,Open,2025-02-07 16:23:53,1
8,1,Billing,Closed,2025-01-27 07:56:14,11
9,2,Bug,Open,2025-01-06 07:03:45,13
10,2,Technical Issue,Closed,2025-01-10 10:00:30,9
11,2,Technical Issue,Closed,2025-03-15 03:49:03,4
12,2,Technical Issue,Open,2025-04-08 19:00:27,10
13,2,Technical Issue,Closed,2025-01-02 12:00:04,12
14,2,Bug,Open,2025-03-03 09:25:06,12
15,3,Bug,Closed,2025-02-11 12:02:50,3
16,3,Feature Request,Open,2025-04-13 15:10:31,2
17,3,Bug,Closed,2025-01-26 02:07:43,6
18,3,Bug,Closed,2025-06-26 06:47:37,8
19,3,Billing,Open,2025-04-27 09:47:55,6
20,3,Billing,Resolved,2025-05-31 19:19:10,9
21,3,Feature Request,Open,2025-04-01 22:05:40,5
22,3,Technical Issue,Closed,2025-06-17 06:58:41,2
23,3,Feature Request,Closed,2025-06-21 14:30:07,8
24,4,Feature Request,Closed,2025-01-20 23:41:11,6
25,4,Feature Request,Closed,2025-01-20 17:41:24,11
26,4,Technical Issue,Closed,2025-06-27 20:54:55,4
27,4,Feature Request,Resolved,2025-04-22 17:41:48,5
28,4,Billing,Resolved,2025-02-03 04:09:02,7
29,4,Billing,Closed,2025-06-28 17:27:35,9
30,5,Technical Issue,Open,2025-05-12 04:37:56,2
31,5,Technical Issue,Closed,2025-02-21 12:45:55,11
32,5,Bug,Closed,2025-03-24 13:13:59,6
33,5,Billing,Resolved,2025-03-10 19:04:10,8
34,5,Technical Issue,Closed,2025-06-14 22:33:38,1
35,5,Technical Issue,Resolved,2025-06-05 05:08:49,11
36,5,Feature Request,Closed,2025-01-05 01:00:09,6
37,6,Technical Issue,Open,2025-01-29 03:05:22,7
38,6,Technical Issue,Open,2025-05-10 22:44:47,8
39,6,Technical Issue,Resolved,2025-04-16 09:02:06,7
40,7,Bug,Resolved,2025-01-19 20:47:51,2
41,7,Technical Issue,Open,2025-04-30 06:24:28,13
42,7,Billing,Open,2025-04-11 02:05:53,12
43,7,Feature Request,Resolved,2025-02-25 07:38:27,11
44,7,Bug,Resolved,2025-02-19 18:41:09,11
45,7,Billing,Open,2025-03-07 10:31:21,11
46,7,Billing,Open,2025-02-18 05:10:07,1
47,7,Feature Request,Closed,2025-04-23 12:22:12,4
48,8,Billing,Open,2025-06-13 23:26:38,5
49,8,Feature Request,Open,2025-03-24 11:19:39,3
50,8,Technical Issue,Closed,2025-02-02 20:39:27,3
51,8,Billing,Resolved,2025-03-11 22:34:01,6
52,8,Feature Request,Resolved,2025-04-22 11:10:10,8
53,8,Feature Request,Closed,2025-02-04 03:53:35,2
54,8,Feature Request,Open,2025-05-21 02:06:32,4
55,8,Technical Issue,Resolved,2025-01-02 17:14:28,11
56,8,Billing,Closed,2025-05-20 16:41:19,7
57,8,Bug,Open,2025-04-12 02:45:49,1
58,8,Bug,Open,2025-06-12 02:54:34,1
59,9,Billing,Closed,2025-04-19 21:38:34,7
60,9,Billing,Resolved,2025-05-19 19:12:29,9
61,9,Bug,Resolved,2025-04-24 13:50:15,7
62,9,Technical Issue,Resolved,2025-02-14 13:46:00,10
63,9,Bug,Open,2025-05-23 23:16:16,1
64,9,Billing,Open,2025-01-23 20:46:44,13
65,9,Billing,Resolved,2025-04-17 03:34:14,7
66,9,Bug,Closed,2025-03-26 15:36:55,1
67,9,Technical Issue,Closed,2025-04-07 12:57:32,7
68,9,Bug,Open,2025-04-07 23:13:16,10
69,9,Technical Issue,Resolved,2025-05-09 08:35:02,8
70,9,Billing,Closed,2025-01-09 23:12:19,11
71,9,Feature Request,Closed,2025-01-27 12:44:06,9
72,9,Feature Request,Resolved,2025-05-26 19:01:22,12
73,9,Technical Issue,Resolved,2025-03-21 04:45:30,3
74,9,Technical Issue,Open,2025-04-24 23:31:04,4
75,10,Billing,Closed,2025-05-04 03:28:22,13
76,10,Technical Issue,Resolved,2025-02-13 10:30:56,2
77,10,Bug,Closed,2025-05-29 21:49:56,7
78,10,Billing,Closed,2025-02-17 15:34:56,9
79,10,Feature Request,Resolved,2025-03-22 14:06:29,11
80,10,Technical Issue,Closed,2025-06-02 00:22:59,2
81,10,Feature Request,Open,2025-05-15 19:02:52,7
82,10,Technical Issue,Open,2025-03-28 03:47:51,4
83,10,Feature Request,Resolved,2025-05-05 14:48:12,11
84,11,Technical Issue,Closed,2025-06-03 00:20:02,11
85,11,Bug,Closed,2025-01-05 07:13:48,8
86,11,Bug,Open,2025-04-15 04:28:45,6
87,11,Billing,Open,2025-04-23 22:41:35,13
88,11,Bug,Closed,2025-03-11 20:55:29,10
89,11,Billing,Resolved,2025-01-02 11:58:36,7
90,11,Feature Request,Closed,2025-01-19 23:59:12,9
91,11,Feature Request,Resolved,2025-04-23 07:03:09,7
92,11,Billing,Closed,2025-03-01 14:51:23,3
